motif_id,title,description
c25b,A spinner in the Moon,"Somewhere outside of our world (in the sky, on the Moon, etc.) certain person is spinning, weaving, plaiting, or embroidering"
c25c,The Big Dipper and the end of the world,Change in configuration of the stars of certain constellation (usually Big Dipper) or its disappearance from the sky will be a signal of approaching world cataclysm
c26,Guardian at the border of the non0human world,Monsters or ghosts try to invade our world. Powerful person or creature is on guard and prevents the invasion
c27,A horn in the ice,"A horned monster breaks ice on river or lake. Usually people walk across frozen body of water, get to see a horn protruding from the ice and try to cut it off. The monster breaks the ice, many people drown"
c28,Unconsidered promise,A demon obtains valuables essential for another person's (and for all the people) survival but is tricked to return the valuables
c29,A listened in secret,People or God get know a secret thanks to listening in its possessor when he speaks aloud with himself or with his relations. The received knowledge is related to cosmogony or acquisition of cultural values
c2a,Conflagration of the woodpecker,"Two persons meet a woodpecker and as a consequence, the earth burns. The strong and smart person survives, the weak and stupid is burned"
c2b,The burned Moon,"The Sun and Moon get into conflagration. The Sun survives, the Moon is burned"
c3,Snakes stops up a hole in the Noah’s arch,"When a hole is opened in the arch, a snake (eel, frog) stops it up with its own body"
c30a,A pound of flesh,"A contract entitles the lender of a sum of money to cut a certain amount of flesh (or eye, head, limb, etc.) from the debtor’s body if the load is not repaid in time. The lender cannot cut out the flesh being unable to fulfill a condition that looks logical but is practically absurd"
c30b,To clean traces off the field,"When an animal or a spirit claims certain field to be his own or suggests an impossible task for a person, the person asks him to delete from the ground traces of his feet or to walk not leaving any traces. The spirit cannot do it"
c30c,To swallow the ocean,Person promises to drink all the water in the sea at once but at last moment asks his opponent to separate the ocean from water of all the rivers that flow into it
c31,The wise hedgehog (cosmology),A hedgehog proves to be smarter than gods and than other animals; he possesses the knowledge that is of crucial importance for survival of humans
c31a,Sun and Moon promised to Devil,"According to an agreement or promise, the master of the underworld receives or is going to receive the Sun and the Moon. Nevertheless, thanks to a trick or a chance, they are not given to him (her) or returned back"
c32,Beware of cut off nails,The cut off nails (and hair) have special significance for the fate of the soul in the beyond or for the future of the entire world
c33,Prometeus (the chained strong man),A strong man who ventured to confront God is for a long time (for eternity) chained to a mountain or to a post
c33a,The restored chain,"During a year somebody tries to break, to make thinner a chain or rope with which the person himself or somebody else is tied. In a certain day when the chain is almost broken it is restored or a post to which the person is tied sinks into the ground again"
c33b,The primordial stillness,The primordial race perishes when the wind blows for the first time
c34a,Buried in sand,A supernatural person comes to people who fish. They bury him on the beach or throw him into river or marsh. Somebody saves him. He or his father sends the flood
c35,Cosmic marriage cancelled,"It becomes known that if the Sun or the Sky marry, great calamity is inevitable. The marriage plans are given up"
c35a,Wise adviser punished,A zoomorphic person gives wise advise concerning the ways that the Sun should follow. His advise is accepted but he himself is punished by the Sun
c36,The final battle,Gods fight with their powerful adversaries at the decisive battle that changes fate of the world
c37,World catastrophe and the sloth,A sloth produces the world catastrophe or saves people from it
c38,People will come soon,Those who inhabited the world in the time of creation were saying that real people were to come and so they had to do this and that
c39,The repaired sky,"When part of the sky was broken, the hole was filled up with stones or pieces of ice"
c39a,Heaven repaired with ice,"A crack in the sky or a fissure in the earth was repared with ice. Because of this the northern (northwester, northeatsren) wind is cold"
c4,The flood: fruits fall from a tree,"During the flood or in the beginning of times fruits, seeds or other objects are dropped into water one by one, usually by a person who has climbed a tree. As far as the objects fall, water recedes and the dry land appears"
c40,Rocks fall from the sky,In the beginning rocks were falling from the sky killing people
c41,Why the sky is blue,"In the beginning the sky has no particular colour. When certain person covers it with a blue cloth or makes something else, the sky acquires its present colour"
c5a,Bird-scouts,"Birds or humans later changed to birds are sent to explore the earth (is it dry, are any survivals, to investigate why smoke rises to the sky, etc.) or to bring some soil to make the land that would be good for living"
c5b,Animal-scouts,"During the creation of the world or after the world cataclysm animals run around making the earth big, reporting about its condition or they are sent to report the size of the growing earth"
c6,The diver,Persons or animals dive to get something from the bottom of the water body
c6a,The diver is turtle or frog,"A turtle, a frog, a toad, or an armadillo brings the desired object from the bottom of the water body or from the lower world"
c6b,The diver is muskrat or beaver,"A muskrat, a beaver or a nutria brings the desired object from under the water"
c6c,The diver is a bird,An aquatic bird brings the desired object from under the water
c6c1,Birds: successful and unsuccessful divers,Two or more different birds (often a loon and a duck) dive one after another to get earth from under the ocean. Only one of them is successful
c6d,Earth from the lower world (>the earth-diver),Persons or creatures get from the bottom of the ocean or from the lower world small amount of solid substance which turns into the earth
c6e,The diver is a crustacean,A crustacean brings the earth from the bottom of the ocean or from the lower world
c6f,Diving for drowned person,Persons or animals dive to get from under the water a drowned person or creature or part of its body
c6g,The diver is a wild boar,A wild boar brings the earth from under the water and/or spills it over the water
c6h,An insect brings the earth,"An insect brings the earth (from under the water, from a lower world or from a far-away place)"
c6i,Dirt stuck to body turns into the earth,Bird or animal returns from the lower world smeared with dirt. It shakes itself or the dirt is scraped off. The dirt turns into the earth
c7,The flood: breaking the dam,"In the beginning of times or after the flood a dam of earth, person or creature does not let water to recede. The dam is broken or opened, waters withdraw"
c8,The primeval couple of siblings,In the beginning of time or after the world catastrophe brother and sister or mother and son are the only humans. They marry each other and the present day people descend from them
c8a,Grinding stones match,"Being alone and having no other marriage partners, brother and sister agree to marry each other if a highly improbable event or a series of events will take place. Among the events that take place (alternatively or one after the other) are 1) the siblings let two grinding stones roll from two mountains, the brother's stone falls on the sister's one; 2) brother and sister throw two swords from two mountains, both swords get into one sheath; 3) they throw some objects up, the objects get together; 4) they kindle two fires, columns of smoke get together; 5) they put to grow two stems of bamboo, tops of the stems get together"
c8a1,Thread should enter the needle’s eye,"Being alone and having no other marriage partners, brother and sister agree to marry each other if a highly improbable event will take place: a thread that is far from a needle has to enter the needle’s eye."
c8b,Siblings change their looks and marry,"In the beginning of time or after the world catastrophe brother and sister or mother and son are the only humans. They reject marriage or only the man does not want to marry his sister or mother. After their looks are changed (or only the sister or mother changes her face) they take each other for strangers, marry and beget the new race"
c8c,Mother and son produce people,"After the world cataclysm, in the beginning of time or coming to a new land a woman marries her son and produce people"
c9a,The flood: people turn into toads,During a flood or when crossing a river those people who drown (or those who survive) turn into toads
d1,Female spirit of fire,"Fire is personified as an (elder) woman, alone or with her husband, master of fire"
d10,Fire sticks are two persons,A male and a female persons personify fire-sticks
d11,Food baked in armpits,"Before fire became known, people prepared food using warmth of their bodies (usually putting food in their armpits); or a person keeps fire in his or her armpits"
d12,Food baked in the sun,First people or inhabitants of a distant country cook food in the sun; or fire owner lies that he or she cooks food in the sun
d12a,Heat of the sun is enough for cooking,"To cook their food, people use heat of the sun because they live close to its origin"
d13c,Trickster makes his brother’s wife laugh,"Two companions or brothers live together. The elder conceals his wife from the younger. In his absence, the younger tries to make the woman laugh and this way to get know her hiding place"
d13d,To make hidden woman laugh,Woman is hidden somewhere inside the house. Man makes her laugh to discover her
d13e,Hunters laugh at killed animals,Hunters perish because they were laughing at the killed (and revived) animal
d13f,Laughter and fire,Laughter triggers emergence or spread of fire. Usually fire is obtained from a creature when it bursts out laughing
d13g,Meet seen on teeth,"When person laughs, people see his or her monstrous mouth (many teeth, human meat on teeth). They kill the monster or escape from it"
d13h,The dead should not laugh,Person should not laugh in the world of the dead
d13hh,Not to laugh visiting the dead,Person who visits the other world should not laugh or demonstrate his surprise seeing strange and funny things
d13i,Broken tooth,"Person knows that the deceiver and trickster has one of his teeth broken. To identify him, person makes others laugh and thus open their mouths"
d13i1,"Showing his teeth, person betrays himself",Person’s (demonic) nature becomes clear when he or she laughs and shows his or her teeth
d1a,Mother-in-law is the Fire,Girl marries man whose mother is Fire
d1a1,Mistress of fire carries away woman’s baby,"Because a woman offended the fire, its mistress carries the woman’s baby away"
d1a2,The borrowed object is not burned,House of a person who insulted the fire is destroyed but an object or a child of another person who was nice to the fire has not been burned though it was in the house of the first person
d1a3,Wife is the Fire,"A man marries a woman who is the incarnation of fire. She is offended or does not fit the man, their marriage is ruined"
d1b,Male spirit of fire,"The fire is personified as an elder man (alone or with his wife, mistress of fire)"
d2,Woman gives birth to the fire,A woman gives birth to a son who is very hot (usually the fire or Sun)
d2a,Woman dies giving birth to the Sun or the fire,A woman gives birth to the Sun or the fire and dies because of burns
d4a,Theft of fire,Fire is stolen from its original owner or brought back to the people from somebody who had stolen it before
d4aa,Moth tries to steal fire from people,Moths try to steal fire which the people posess
d4b,Retribution for using fire,Person or people who have stolen fire or asked its owner to share the fire are punished by God
d4c,Acquisition of summer,Warm season is obtained from its original owners
d4c1,Swimming elk diverts attention,Animal-people come to steal summer from its owner. One of them in guise of an elk or caribou diverts the owners' attention or puts to float a log that the owner takes for an elk and pursues. The summer is successfully stolen and brought to the people
d4d,Opossum steals fire,Opossum steals fire for people
d4e,Coyote or fox obtain fire,"Coyote or fox bring people the fire, the daylight or the Sun"
d4e1,The dog and the fire,"Dog obtains fire, daylight or the Sun or steals them"
d4f,Beaver or fish let themselves to be roasted,"Beaver (in North American) or a small fish (in South America) lets fire owners catch and roast it, then revives and carries the fire away"
d4g,Hummingbird discovers where the fire is (and brings it to people),Hummingbird discovers where the fire is (and brings it to people)
d4h,Swallow obtains fire,Swallow steals fire for people
d4i,Beaver obtains fire,Beaver steals fire for people
d4j,Rabbit obtains fire,"Fire owner, stealer, or stealer's companion is a rabbit, a hare or (among the Ofaie) a guinea pig"
d4k,Deer obtains fire,Dear steals fire for people
d4l,Fire from the sky,First fire is sent to earth from the sky or the ancestors ascend to the sky and bring from there fire or warmth
d4m,Fire owners dance,Person comes to the owners of fire or light. They feast and dance. He joins them and in a proper moment carries away the valuables
d4n,Person weeps asking for summer,"A boy or (among the Kutenai) a woman weeps, asking for an element that is absent, i.e. for summer, fire, or rain"
d4o,Fire stealer pretends to be wet and cold,"To steal fire from its owner, person pretends to be wet or cold and is granted permission to sit near the fireplace. In a proper moment the stealer carries the fire away and brings it to people"
d4p,Parrot or parakeet obtains fire,Parrot or parakeet steals fire for people. (Australian data not computed because historically definitely unrelated to the Tropical American data)
d4q,Fly obtains fire,"Fly(-woman) obtains fire by ""washing"" her hands like a fire-drill twirler"
d5,Woman as the owner of the fire,Female person is the owner or inventor (but not the personification) of the fire
d5a,Fire in woman’s genitals,First fire was hidden in genitals or anus of a woman
d6a,Fire and crocodile,Crocodile or cayman is an original or temporary owner of fire or lighting
d6b,Burned person becomes a caiman,Badly burned person turns into caiman or crocodile
d7,Fire and toad,"Frog or toad possesses the fire, steals it from original owner, tries to extinguish or to save it"
d8,Fire and a predator animal,"Fire or summer is stolen from a big predator: a lion (in Africa), a tiger (in Asia), a bear (in Siberia and North America) or a jaguar (in South America)"
d9,Fire and vulture,"Raven or other big dark-feathered bird scavenger is the owner, personification, spouse, obtainer or stealer of fire, daylight, or the Sun"
e10,Pets turn into children,A lonely woman or married couple surprises birds or animals who live in their house and take their skins off when nobody looks at them. Birds or animals (usually pups) become children
e11,The burned skin,Magic person reveals his true nature and/or remains with the real people after the object responsible for preserving the non-human appearance (usually an animal skin) is destroyed (usually burned)
e12,The animated drawing,Person draws an object or creature and it becomes alive
e13a,Ritual objects from under the water,People obtain ritual objects from under the water or brings them back to the underwater world
e14,Rituals from the dead,Rituals are obtains from ghosts
e14a,Masks represent the killed demons,People prepare ritual costumes and masks coping the features from the real demons whom they have killed
e15,Ducks and canoes,People learn from aquatic birds how to make canoes or how to paddle; or the first canoe is a transformed bird or is made of bird bones
e15a,Breast bone as a canoe model,Frame of canoe is made according to breast bone of a bird
e15b,Birds sew canoe covering,"While man is asleep, birds turn into girls and sew covering of his canoe"
e16,Paddles edgewise,"Riding in canoe, people first turn paddles edgewise, then learn the correct way to use them"
e17,Origin of design,"Humans acquire (the idea of) ornamentation of the vessels, baskets, body, etc. or the idea of the system of signs after somebody gets to see the pattern on the body of zoomorphic and/or supernatural creature"
e18,Snakes and containers,People learn how to decorate ceramics or baskets (usually learn decorated patterns) thanks to a water creature
e19,Origin of drugs: person torn to pieces,Narcotic plants emerge from the body parts of a person who was torn to pieces by others
e1a,First people of unstable materials,"First human beings are made of unstable materials (mud, wax, fire, honey, etc.) and unviable"
e1a1,Becoming sodden under the rain (origin of cripples),Deity or ancestor makes people from mud. Some figures become sodden under the rain and this is the reason why some people have physical defects
e1b,Person of unfit materials,Certain person is made of improper material and proves to be short-lived or unfit for fulfilling his functions
e1b1,Forbidden work for daughter-in-law,A man who had married an unusual girl was warned that she should avoid certain kinds of works. Some other members of his household insist that the woman must do everything that is expected from a young wife. She dies
e1c,Person of excrements,Certain person is made of human excrement or carrion
e1d,Canoes of clay,First canoes were made of unfit materials
e2,People made for a test,"Making people, creator does not reach perfection immediately. First variants of creation are rejected, then proper form and material found"
e20,Fish poison person,"Entering water, certain person makes fish die. From parts of his body or from his grave grows plant used to prepare fish poison (timbo)"
e21,Avenged victim of water creatures,Child fishes with poison or his or her body produces fish poison. Fish or water snake kills him or her. The perished child is avenged
e22,Swallowed person obtains knowledge,"Getting into the body of certain being, person obtain knowledge of rituals, songs, ornaments, poison or drugs and then brings it to people"
e23,Fleas make person move,"A handful of fleas or lice is thrown into people or into particular person. It was the only way to make him, her or them move and live"
e24,Origin of elbows and knees,Human arms and legs become pliant (get joints) when a primeval ancestor(s) fall from height and break his arms and legs
e25,Arachne (the spider-weaver),The art of weaving people get from a spider or from a person who turns into spider afterwards; a spider is weaving for people
e26,Fished out people,"Man fishes with a hook. Thrown on the ground, the fish turn into the first humans or into the women. (Stories about fishing of women in human guise not included)."
e27,People from drops of blood,People emerge from drops of blood that fall from the sky
e28,Moon's blood drops to earth,"People shoot into the Moon person, his blood drops to earth"
e29,Lizard gives proper hands,Two persons (usually Coyote and Lizard) argue if people's hand has to be like a paw or people should have fingers
e3,New people from bones,"After destruction of previous world, new people (rare: new earth) are made from the bones of the perished race"
e30,The make-believe spouse of wood,"Person does not have a spouse, uses wooden fakes for his wife or her husband"
e30a,Make-believe spouse replaced with alive person,"Person does not have a spouse, uses wooden fakes for his wife or her husband till alive person comes to replace it"
e31,Pygmalion,"Man makes a wooden doll, makes believe that it is alive. Really it is not or it is half-alive. Usually a real woman takes place of a doll, marries the master"
e31a,Creators and rescuers of a girl,Several men take part in creation or reanimation of a girl (rare: a bird) or several women take part in the reanimation of a dead man or they differetly express their grief. It is asked whose role was crucial (who behavior more noble) and/or who should be the spouse of the reanimated person. Or three men make something valuable and it is asked whose role in the corresponding enterprise was more important
e31a1,Three men construct a woman which becomes alive: to whom does she belong?,"Three (rare two or four) men take part in creation of a girl: one cuts her body of wood, another puts clothes on her, the third one makes her alive. To whom does she belong?"
e31a2,"That one is like her father, another is like her brother but this one is her husband","Only one of several men can marry a girl. The girl herself or somebody else explains that somebody among suiters is like a father to her, somebody else is like her brother and only one of the men suits the role of the girl’s husband"
e31b,Rescuers of a man,Several women take part in the reanimation of a dead man. They argue whose role was crucial and/or who of them should be the spouse of the reanimated person
e31c,Rescuers of an abducted girl,Every one of several men had learned a unique skill thanks to which they save a girl abducted by demon or animal
e32,People born from trees,"First people are born by trees or come out of a tree, flower, reed"
e33,People from seeds,"People emerge from grains, seeds"
e34,Sacred flutes from ogre’s remains,Ogre is killed. Musical instruments used in male rituals and taboo for women emerge from his remains
e35,Webbed fingers,"First people or people made by Creator's rival were imperfect, not completely anthropomorphic (often: had webbed fingers)"
e36,Hard covering of the body,Human body was protected with a hard layer now preserved only on fingers and toes as nails
e37,Peoples from sticks,"Creator takes many small sticks, transforms them into people of both sexes and all ages"
e38a,Woman gives birth to many embryos,"Woman gives birth to a gourd, a bag (with eggs), a piece of meat. The flesh is cut into pieces which turn into people or many people come out of the gourd or bag"
e38b,People from gourd,"After the world cataclysm or in the beginning of times a gourd survives or appears, new people come out of it"
e38c,First people are dumb,"First people are dumb but begin to speak when they hear something unusual, are made to laugh, etc."
e39,Pig ancestor,A pig is an ancestor of a particular group of people
e4,Creation from cuticle,"Supernatural person rubs his or her skin, creates the entire earth, human or other beings of dirt and cuticle"
e40,Nostrils upside,First people have noses with nostrils upside and are in trouble when it rains
e5,Half-made man attempts to stand up,God makes the first man of clay. The man must wait till he is dried up but makes attempts to stand up before time
e5a,Mankind ascends from the underworld,"The first people (or only the first men or the first women) are not created but come to earth from the underworld (from a cave) or from a small enclosure under the earth or on its surface (tree trunk, rock, gourd, etc.). Many people of both sexes and of different age or people and different species of animals come out together"
e5aa,People grew like a grass,"The first people grew or crawled out of the earth like a grass, mushrooms, worms, etc."
e5b,First couple from the underworld,"First man or first human couple come out from the underworld or from a small enclosure on its surface (tussock, reed, tree, rock, gourd)"
e5c,People from the sky,The first people or first anthropomorphic divine beings descend to earth from the sky.
e5d,Predator devours emerging people,People live underground or in a small enclosure. When they come out they are attacked by monster or dangerous animal. Monster is killed or transformed
e5e,The two-headed being is not allowed to come to the earth,First people or animals ascend or descend to earth. The two-headed monster attempts to follow them but is prevented from coming to the earth
e6,Because of a woman worlds become isolated,"When a woman of the child-bearing age tries to come from one world to another (e.g. from sky to earth), the communication between the worlds is blocked or broken forever"
e6a,Way across waters,"To reach their present country, people had to pass (frozen) water body. Part of the migrants remain on the opposite side or is drowned"
e7,Person stuck in a cosmic hole,"To descend from the sky, ascend from the underworld or come out of the cave, people must pass through narrow hole. A person is stuck in the hole blocking forever communication between different parts of the universe"
e8,People of wood,The first people or (the first) woman (wife of a primeval ancestor) are made of wood
e8a,Women from coconuts,Coconuts picked off a palm or fallen to the ground (rare: leaves picked off a tree) turn into women or into both women and men
e9,The mysterious housekeeper,"A man (rare, a woman) lives alone. In his or her absence, somebody puts his or her house in order, prepares his or her meals or (rare) eats food up, makes a disorder. He or she discovers that a woman (a young man) lives unrecognized (having animal form, hiding in an object) in or near the house or comes during his or her absence"
e9a,Fox-wife,Man maries fox-woman
e9aa,Fox-wife in animals’ den,In search of his lost fox-wife man comes to a den. Different animal- or bird-women come out and ask him if he would mary them. He refuses and they let him in
e9b,Turtle-wife or snail-wife,"The mysterious housekeeper is a water creature (turtle, snail, shellfish)"
e9c,"Elephant-, buffalo-, elk-wife","Man marries a woman who has a nature of a big non-predatory animal (elephant, buffalo, doe, elk, etc.)"
e9d,Dog-wife,Man marries a girl who initially has guise of a dog
e9e,Puppy as a reward,"Youth gets to supernatural beings, rejects any treasure, asks for a puppy, a dog's skin, a fruit, etc. When he returns home, the puppy (skin, etc.) turn into magic wife"
e9f,Parrot-wife,Man maries parrot- or parakeet-woman
e9g,Vulture-wife,Man marries vulture-woman
e9h,Dove-wife,A man marries dove-woman or a woman marries dove-man; supernatural woman or man takes form of a dove
e9i,Swan-wife,"Supernatural woman who is a swan, goose, duck, or crane marries the hero and/or helps him"
e9j,Monkey-wife,Man marries monkey-woman; supernatural woman takes form of a monkey or the man pretends that the house-keeper is a monkey
e9k,Spouse is honey (bee),A man or a woman is incarnation of the honey or a bee-person
f1,First woman is a transformed man,Woman or female supernatural is created by changing the sex of a man
f10,Vaginal teeth knocked out,"Woman has another toothed mouth (usually in vagina) or biting animals in vagina. Man inserts there a stone, bone, stick, etc. breaking or knocking out the teeth or extracting from there dangerous animals"
f100,Test of chastity (a queen and a servant girl),"A magic medicine demonstrates that the only chaste woman is a servant girl, orphan, etc. King chooses the chaste one"
f11,Biting penis,"Penis is biting, stinging, eats food"
f12,Man kills his wife with her lover’s penis,Man kills his wive inserting into her body the cut off penis of her lover
f13,Red penis of primates,Human or monkey's genitals becomes red after being injured during copulation with the girl who had toothed vagina or had not any vagina
f14,Son of a rock,Male person copulates with a rock gives birth to a hero
f15,Trickster’s penis sticks up from the ground,Person makes his penis remind a plant and provokes a woman to squat on it
f16,Men and women: exchange of anatomical characteristics,"Initially men possessed women's biological traits and vice versa (beard, menses, breasts, bearing children)"
f17,Misplaced genitalia,Women or men originally had or had to have their genitals not on the place where they are now
f18a,Long penis after prohibited sex,"After contact with a non-human or prohibited partner (close kin, animal, spirit) man's penis becomes so long that he had to carry it in a basket, etc."
f18b,Penis crawls to women,Man's penis is so long that he can turn it round his waist or send into a woman who is at a long distance from him. (Only texts considered to describe real events and beings and not anecdotes are included)
f18c,Girls at the opposite bank,"Seeing a girl on the opposite bank of a river, person uses tricks to have sex with her: sends his long penis, transforms his penis into a bridge or a dam, dives and copulates with a girl from under the water"
f18d,Long clitoris,Female genitals are as long as a big snake
f19,Dangerous frog paramour,"After copulation with a frog, man's penis is injured"
f2,Pregnant limb,"Child is born from a tumor or swelling on person's body (on thigh, knee, finger, etc.) or is temporarily placed there or child grows from blood that flew out from a cut"
f20,A strong embrace,Man and woman embrace each other forever or for a long time
f21,"Woman turns into a tree, penis captured","Man copulates with a woman who turns into tree or rock, his penis is captured in it"
f22,Study of partner’s body,Person asks another person of the opposite sex about destination or place of her or his genitals. Usually it is made after putting questions about function of other body parts; or person tries to use for sex different parts of the partner's body or tests them before reaching the best place where the genitals should be put
f23,Origin of menses: sexual act,Women menstruate because they bled in primeval time after the first defloration
f24,Origin of menses: a bite,Women bleed because fish or snake bites them. Usually it is invisible fish inside their body
f25,Origin of menses: girl smeared with blood,Woman is smeared with blood or red paint. Since then women menstruate
f26,Origin of menses: sacred objects lost,"The transition of sacred sound instruments (bull-roarers, big trumpets, etc.) from women to men is connected with beginning of menses among the women"
f27,Girls and the water spirits,For girls and young women it is dangerous to come near water. Water creatures swallow them or drag away; a girl can die or become pregnant from a spirit; she can trigger a flood (rare: other cataclysm). Water spirits can come themselves to a girl who has her periods
f28a,Primeval penis,"There is only one monstrous penis, a husband of primeval women or the amazons, usually growing out of earth or out of water in a lake"
f28a1,Jumping penis,Alive penis exists as a separate being able to move and attack people
f28b,Penis of wax,"Certain woman masturbates with a penis made of wax, gourd, wood, radish, etc. Usually her husband or male relative smears it with chile; the woman is hurt or killed"
f28c,Bear penis in hands of old woman,Woman masturbates with penis of a big animal killed by a man of her household
f28d,Artificial conception,Woman conceives after masturbating with an artificial penis
f29,Girl sits on the ground,"A girl or young woman who is usually occupied with domestic work (is cooking, weaving, etc.) sits on the ground and copulates with a penis-like creature that crawls from below into her vagina"
f29a,Worm killed with boiling water,"To kill snake or worm paramour of a woman or girl, person pours on it boiling water, resin or spills live coals"
f3,The man gives birth after eating his wife’s pregnency medicine,The man gives birth to a daughter after accidentally eating his wife’s pregnency medicine. (The child appears from his swallowed leg or otherwise but the man remains alive)
f30,Snake paramour,"Woman or girl takes eel, snake, lizard, or worm for paramour. People kill or badly injure the paramour, the woman and/or her progeny or the woman herself is transformed into snake"
f30a,Worm-baby,"Woman is nursing a worm, caterpillar or reptile as her baby. People kill the monster"
f31,The broken egg,Girl or woman is imperceptibly impregnated by snake when the content of a broken egg of a snake flows into her vagina or when she touches a dead snake
f32,Tree fruits for a woman,"Baby child or children who come out of mother's womb and turn themselves into adult men or a snake who lives in her womb climb up a tree and help the woman to gather fruits, bark, edible fungi, etc. Usually the child who is a snake returns to his mother's womb and adult man turns back into a baby; or the girl's love affair with a snake is discovered when her father climbs a tree to gather fruits for her"
f33,Water creature paramour,"Certain woman or a group of women take for paramour a big water animal (caiman, otter, sea-lion, whale, anaconda; rare: water bird, crab), water spirit or monster. Husbands, brothers or (adoptive) children kill or maim paramour and/or (sometimes) the woman"
f34,Land animal paramour,"Certain woman or a group of women takes for a paramour a big land animal. Husbands, brothers or (adoptive) children kill or maim paramour and (sometimes) the woman"
f35,Paramour mutilated,"Person (usually a woman, rarely a man) has a monster or animal paramour or married woman has human lover. Legal marriage partner or close relative kills or maims paramour and serves his or her meat to the person (usually husband or brother serves paramour's penis to his wife or sister)"
f36,Sons kill paramour,The (adoptive) children or grandchildren and not person's spouse or brother kill the paramour of their (step)mother or father
f37,Gourd vessel put on the surface of water,Person knocks the gourd vessel that floats above the water to call water monster or serpent. Usually a woman calls this way her monstrous paramour
f38,Women and sacred knowledge,"Women were possessors of the sacred knowledge, sanctuaries or ritual objects which are now taboo for them or they made attempts to acquire such a knowledge or objects"
f39,The time of women,"The women dominated over the men in the past or in a far away land, were the active part in marriage relations, practiced activities which now are reserved of the men only"
f4,Child born in jug,"In the beginning of times, a particular person or children in general was or were conceived and grown up in pots, heaps of mud, etc. and not in a womb"
f40a,Husband of the first women,An anthropomorphic male or an androgyne is the only possessor or leader of women
f40b,A man in a village of women,A man gets into the village of women. Usually he has to satisfy every woman against his will or every woman claims him for herself
f40c,Patriarch kills the boys,A powerful man kills every baby boy born by his wives or by his sister
f41,The men kill the women,The men of primeval community kill the women because of their unsocial behavior
f42,The men abandon the women,The men feel themselves offended by the women and abandon them
f42a,Men turn into birds,"Young men and boys turn into birds or bats, fly away"
f43,First women disappear,The women of the ancestral community kill or abandon the men
f43a,The women kill the men,"The women of the ancestral community kill, try to kill or transform the men"
f43b,Women disappear under the ground,"When women of the ancestral community abandon the men, they disappear in the opening that leads underground"
f43c,Bat-husbands,"Marriage partners of the primeval women, the amazons or a solitary woman are small animals (usually flying foxes)"
f44,Women and men separate,The women and the men of the primeval community quarrel and abandon each other
f45,The amazons,There are (or were) women who live apart from men in their own village or villages
f45a,Conception from wind,A woman or a female animal is impregnated exposing her genitals to the wind
f46,One for all,In the beginning of time two or more men (animal people) have only one woman
f46a,Woman in a tree,Men (animal people) discover a woman in a tree and copulate with her there
f47,Pieces of flesh turn to persons,"The body of the of a living creature (woman or snake) is cut into pieces. Every man gets his piece, new women emerge from them"
f47a,Men use pieces of woman’s flesh,Every man uses for copulation certain part of an only woman or takes a part of her body after it was cut into pieces
f47b,New people on the old place,"To create the new people (new women) instead of those who were destructed, person puts down in every empty hut (hearth, hammock) something (feathers, pieces of flesh) from which new people (new women) emerge"
f48,Why women are different,Different women are not similar physically because pieces of the first woman's flesh distributed between men were of unequal quality or because males who copulated with her had different nature
f49,The abnormal birth,Cesarean operation upon a woman at childbirth as a custom
f49a,Animal explains how to give birth,"A small animal (mouse, rat, rabbit, opossum, a bird) explains a woman how she can deliver her child in a natural way"
f5,Brides for first men,Person cannot or do not want to give his daughters in marriage to all the men who claim them for wives and transforms animals into girls. (Usually in the beginning of times or after the flood many men come to marry the only daughter of God or patriarch)transforms animals into girls
f50,The often-born children,Child or children come out of mother's womb and return back
f51,The clandestine lover,"Person who conceals his or her identity comes to his or her lover at night. Next time, the lover puts a mark on the stranger's face, body or clothes doing this intentionally (to recognize him or her) or by chance (that leads to the identification)"
f51a,Aggressive sister,"When incest relations with her brother come to light, the sister openly claims her brother for a husband, turns into monster, kills people"
f51b,Following the thread,"To get know the nature or locality of a person, another fastens a thread to his body and follows it"
f51c,Provocative behavior after incest,"When a girl gets to know that her night visitor was her own brother, she demonstrates him her genitals or her bake breasts and suggests to take what he had been desired so much. After this she runs away and he pursues her"
f51d,The ginseng-child,The ginseng roots are boys or girls who help the hero
f52,Pubic hair for a bird’s crest,A bird person gets his crest putting on his head a pubic hair of a woman or part of her genitals
f53,Ugly husband,An ugly man marries a girl but conceals his face. Marriage is ruined after his face is seen
f53a,Bat or owl hides his face,A man hides his face from his wife because she does not know that he is a nocturnal being (a bat or an owl)
f54,Oedipus,A youth unintentionally (kills his father and) marries his mother
f54a,Imperceptible scar (husband proves to be son),"After a rather long marriage, wife discovers some minor traits in her husband guise that help her understand that he is not a proper marriage partner but her close kin (brother or son) or a transformed animal; or a man getting to notice a scar on his wife’s head understands that she is his sister"
f54b,Traces of feathers,A youth or boy decorated with feathers and paint copulates incognito with his mother or sister. They discover his identity noticing on his body traces of feathers or paint
f54c,Recognized by imprints of finger-nails,Husband notices imprints of finger-nails on his wife’s face and assembles all the men to recongize the culprit
f54d,Conception from uribe,Woman gives birth to a boy after unwittingly drinking urine of a he-animal or she-animal gives birth to a boy drinking urine of a man
f55,What do you want?,"A woman cannot understand what does her partner want. She points at, names or suggests different things. At last she points at, names or exposes her genitals. This is the right answer"
f56,Watching vagina triggers incest,"A man or boy thinks about incest when he gets to see his daughter(-in-law)'s, sister's, or mother(in-law)'s vagina"
